Start Day,Start Month,Year,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),INTDSRCNM193N
1,3,1990,3,31,1/3/1990,31/3/1990,1/3/1990,30/3/1990,9.00
1,4,1990,4,30,1/4/1990,30/4/1990,2/4/1990,30/4/1990,9.00
1,5,1990,5,31,1/5/1990,31/5/1990,1/5/1990,31/5/1990,9.00
1,6,1990,6,30,1/6/1990,30/6/1990,1/6/1990,29/6/1990,9.00
1,7,1990,7,31,1/7/1990,31/7/1990,2/7/1990,31/7/1990,9.00
1,8,1990,8,31,1/8/1990,31/8/1990,1/8/1990,31/8/1990,7.92
1,9,1990,9,30,1/9/1990,30/9/1990,3/9/1990,28/9/1990,7.92
1,10,1990,10,31,1/10/1990,31/10/1990,1/10/1990,31/10/1990,7.92
1,11,1990,11,30,1/11/1990,30/11/1990,1/11/1990,30/11/1990,7.92
1,12,1990,12,31,1/12/1990,31/12/1990,3/12/1990,31/12/1990,7.92
1,1,1991,1,31,1/1/1991,31/1/1991,1/1/1991,31/1/1991,7.92
1,2,1991,2,28,1/2/1991,28/2/1991,1/2/1991,28/2/1991,7.92
1,3,1991,3,31,1/3/1991,31/3/1991,1/3/1991,29/3/1991,7.92
1,4,1991,4,30,1/4/1991,30/4/1991,1/4/1991,30/4/1991,7.20
1,5,1991,5,31,1/5/1991,31/5/1991,1/5/1991,31/5/1991,7.20
1,6,1991,6,30,1/6/1991,30/6/1991,3/6/1991,28/6/1991,7.20
1,7,1991,7,31,1/7/1991,31/7/1991,1/7/1991,31/7/1991,7.20
1,8,1991,8,31,1/8/1991,31/8/1991,1/8/1991,30/8/1991,7.20
1,9,1991,9,30,1/9/1991,30/9/1991,2/9/1991,30/9/1991,7.20
1,10,1991,10,31,1/10/1991,31/10/1991,1/10/1991,31/10/1991,7.20
1,11,1991,11,30,1/11/1991,30/11/1991,1/11/1991,29/11/1991,7.20
1,12,1991,12,31,1/12/1991,31/12/1991,2/12/1991,31/12/1991,7.20
1,1,1992,1,31,1/1/1992,31/1/1992,1/1/1992,31/1/1992,7.20
1,2,1992,2,29,1/2/1992,29/2/1992,3/2/1992,28/2/1992,7.20
1,3,1992,3,31,1/3/1992,31/3/1992,2/3/1992,31/3/1992,7.20
1,4,1992,4,30,1/4/1992,30/4/1992,1/4/1992,30/4/1992,7.20
1,5,1992,5,31,1/5/1992,31/5/1992,1/5/1992,29/5/1992,7.20
1,6,1992,6,30,1/6/1992,30/6/1992,1/6/1992,30/6/1992,7.20
1,7,1992,7,31,1/7/1992,31/7/1992,1/7/1992,31/7/1992,7.20
1,8,1992,8,31,1/8/1992,31/8/1992,3/8/1992,31/8/1992,7.20
1,9,1992,9,30,1/9/1992,30/9/1992,1/9/1992,30/9/1992,7.20
1,10,1992,10,31,1/10/1992,31/10/1992,1/10/1992,30/10/1992,7.20
1,11,1992,11,30,1/11/1992,30/11/1992,2/11/1992,30/11/1992,7.20
1,12,1992,12,31,1/12/1992,31/12/1992,1/12/1992,31/12/1992,7.20
1,1,1993,1,31,1/1/1993,31/1/1993,1/1/1993,29/1/1993,7.20
1,2,1993,2,28,1/2/1993,28/2/1993,1/2/1993,26/2/1993,7.20
1,3,1993,3,31,1/3/1993,31/3/1993,1/3/1993,31/3/1993,7.20
1,4,1993,4,30,1/4/1993,30/4/1993,1/4/1993,30/4/1993,7.20
1,5,1993,5,31,1/5/1993,31/5/1993,3/5/1993,31/5/1993,8.46
1,6,1993,6,30,1/6/1993,30/6/1993,1/6/1993,30/6/1993,8.46
1,7,1993,7,31,1/7/1993,31/7/1993,1/7/1993,30/7/1993,10.08
1,8,1993,8,31,1/8/1993,31/8/1993,2/8/1993,31/8/1993,10.08
1,9,1993,9,30,1/9/1993,30/9/1993,1/9/1993,30/9/1993,10.08
1,10,1993,10,31,1/10/1993,31/10/1993,1/10/1993,29/10/1993,10.08
1,11,1993,11,30,1/11/1993,30/11/1993,1/11/1993,30/11/1993,10.08
1,12,1993,12,31,1/12/1993,31/12/1993,1/12/1993,31/12/1993,10.08
1,1,1994,1,31,1/1/1994,31/1/1994,3/1/1994,31/1/1994,10.08
